name,municipality,iata_code
Utirik Airport,Utirik Island,UTK
Ocean Reef Club Airport,Key Largo,OCA
Pilot Station Airport,Pilot Station,PQS
Crested Butte Airpark,Crested Butte,CSE
LBJ Ranch Airport,Stonewall,JCY
Loring Seaplane Base,Loring,WLR
Nunapitchuk Airport,Nunapitchuk,NUP
Port Alice Seaplane Base,Port Alice,PTC
Icy Bay Airport,Icy Bay,ICY
Port Protection Seaplane Base,Port Protection,PPV
Kalakaket Creek AS Airport,Kalakaket Creek,KKK
Dunsmuir Muni-Mott Airport,Dunsmuir,MHS
Chase Field Industrial Airport,Beeville,NIR
Grand Canyon Bar Ten Airstrip,Littlefield,GCT
Ellamar Seaplane Base,Ellamar,ELW
Lime Village Airport,Lime Village,LVD
Hog River Airport,Hogatza,HGZ
Ed-Air Airport,Oaktown,OTN
Telida Airport,Telida,TLF
Eagle Air Park,Brazoria,BZT
Entrance Island Seaplane Base,Entrance Island,HBH
False Island Seaplane Base,False Island,FAK
Blakely Island Airport,Blakely Island,BYW
Drift River Airport,Kenai,DRF
Rinkenberger Restricted Landing Area,Bradford,BDF
Roy Otten Memorial Airfield,Versailles,VRS
Golden Horn Lodge Seaplane Base,Golden Horn Lodge,GDH
Atmautluak Airport,Atmautluak,ATT
Livengood Camp Airport,Livengood,LIV
Pedro Bay Airport,Pedro Bay,PDB
Ouzinkie Airport,Ouzinkie,KOZ
Tununak Airport,Tununak,TNK
Hyder Seaplane Base,Hyder,WHD
Minto Al Wright Airport,Minto,MNT
Tokeen Seaplane Base,Tokeen,TKI
Aleknagik / New Airport,Aleknagik,WKK
Ketchikan Harbor Seaplane Base,Ketchikan,WFB
Naknek Airport,Naknek,NNK
Lake Brooks Seaplane Base,Katmai National Park,BKF
Southern Seaplane Airport,Belle Chasse,BCS
Catalina Air-Sea Terminal Heliport,San Pedro,SPQ
East 34th Street Heliport,New York,TSS
New York Skyports Inc Seaplane Base,New York,NYS
Earl Henry Airport,Blackwell,BWL
Yes Bay Lodge Seaplane Base,Yes Bay,WYB
Center Island Airport,Center Island,CWS
Tatitlek Airport,Tatitlek,TEK
Pine Island Airport,Corolla,DUF
Stuart Island Airpark,Friday Harbor,SSW
Fort Bragg Airport,Fort Bragg,FOB
Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,PUL
Century City Heliport,Los Angeles,CCD
Meyers Chuck Seaplane Base,Meyers Chuck,WMK
Maxson Airfield,Alexandria Bay,AXB
Reese Airpark,Lubbock,REE
Waldron Airstrip,Eastsound,WDN
Whale Pass Seaplane Float Harbor Facility,Whale Pass,WWP
Chuathbaluk Airport,Chuathbaluk,CHU
Ugashik Airport,Ugashik,UGS
Philadelphia Seaplane Base,Essington,PSQ
Levelock Airport,Levelock,KLL
Saginaw Seaplane Base,Saginaw Bay,SGW
Tuntutuliak Airport,Tuntutuliak,WTL
Twin Hills Airport,Twin Hills,TWA
Chignik Lake Airport,Chignik Lake,KCQ
Adado Airport,Adado,AAD
Atkamba Airport,Atkamba Mission,ABP
Angeles City Flying Club,MG,AFC
Arica Airport,Arica,ACM
Andakombe Airport,Andekombe,ADC
El Daein Airport,El Daein,ADV
Jebel Ali Seaplane Base,Jebel Ali,DJH
Adareil Airport,Adar,AEE
Algeciras Heliport,Algeciras,AEI
Aseki Airport,Aseki,AEK
Ar Horqin Airport,Chifeng,AEQ
Khost International Airport,Khost,KHT
Orūzgān Airport,Orūzgān,URZ
Salerno Airport,Khost,OLR
Kondavattavana Tank Seaplane Base,Ampara,AFK
Afore Airstrip,,AFR
Afutara Aerodrome,Bila,AFT
Ulawa Airport,Arona,RNA
Uru Harbour Airport,Atoifi,ATD
Barakoma Airport,Barakoma,VEV
Geva Airport,Liangia,GEF
Angoram Airport,Angoram,AGG
Gwaunaru'u Airport,Auki,AKS
Bellona/Anua Airport,Anua,BNY
Choiseul Bay Airport,,CHY
Ballalae Airport,Ballalae,BAS
Fera/Maringe Airport,Fera Island,FRE
Honiara International Airport,Honiara,HIR
Babanakira Airport,Mbambanakira,MBU
Avu Avu Airport,,AVU
Ngorangora Airport,Kirakira,IRA
Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SCZ
Munda Airport,Munda,MUA
Nusatupe Airport,Gizo,GZO
Mono Airport,Stirling Island,MNY
Parasi Airport,Parasi,PRS
Rennell/Tingoa Airport,Rennell Island,RNL
Sege Airport,Sege,EGM
Santa Ana Airport,Santa Ana Island,NNB
Marau Airport,Marau,RUS
Suavanao Airport,Suavanao,VAO
Yandina Airport,Yandina,XYA
Kagua Airport,Kagua,AGK
Kaghau Airport,Kagau Island,KGE
Kukudu Airport,Kolombangara Island,KUE
Kwailabesi Airport,Kwailabesi,KWS
Wanigela Airport,,AGL
Nana Airport,Star Harbor,NAZ
Manaoba Airport,Manaoba,MHM
Gatokae Aerodrome,Gatokae,GTA
Ringi Cove Airport,Ringi Cove,RIN
Ramata Airport,Ramata,RBV
Tulaghi Heliport,Tulaghi Island,TLG
Argyle Downs Airport,Argyle Downs,AGY
Hongyuan Airport,Ngawa (Hongyuan),AHJ
Ambatolhy Airport,Ambatolahy,AHY
Aiome Airport,Aiome,AIE
Aiambak Airport,Aiambak,AIH
Ailinglaplap Airok Airport,Bigatyelang Island,AIC
Chena Hot Springs Airport,Chena Hot Springs,CEX
Solomon State Field,Solomon,SOL
Herendeen Bay Airport,Herendeen Bay,HED
Taylor Airport,Taylor,TWE
Tikchik Lodge Seaplane Base,Tikchik,KTH
Naukati Bay Seaplane Base,Tuxekan Island,NKI
Point Lonely Short Range Radar Site Airfield,Point Lonely,LNI
Candle 2 Airport,Candle,CDL
Amook Bay Seaplane Base,Amook Bay,AOS
Boswell Bay Airport,Boswell Bay,BSW
Zakuoma Airport,ZaKouma,AKM
Alitak Seaplane Base,Lazy Bay,ALZ
Mar de Cortés International Airport,Puerto Peñasco,PPE
Alto Molocue Airport,Alto Molocue,AME
Ama Airport,,AMF
Amanab Airport,Amanab,AMU
Ambatomainty Airport,,AMY
Nauru International Airport,Yaren District,INU
Angus Downs Airport,Angus Downs Station,ANZ
Catoca Airport,Saurimo,CTV
Andulo Airport,Andulo,ANL
Cangamba Airport,Cangamba,CNZ
Dirico Airport,Dirico,DRC
Capanda Airport,Capanda,KNP
N'dalatando Airport,N'dalatando,NDF
Annanberg Airport,,AOB
Abou-Deïa Airport,Abou-Deïa,AOD
Asapa Airport,,APP
April River Airport,April River,APR
Troll Airfield,Troll Station,QET
Girdwood-Alyeska Airport,Girdwood,AQY
Bragado Airport,Bragado,QRF
Caleta Olivia Airport,Caleta Olivia,CVI
Charata Airport,Charata,CNT
General Villegas Airport,General Villegas,VGS
Los Menucos Airport,Los Menucos,LMD
Valcheta Airport,Valcheta,VCF
Sunchales Aeroclub Airport,Sunchales,NCJ
Carmen de Patagones Airport,Carmen de Patagones,CPG
Termal Airport,Presidencia Roque Sáenz Peña,PRQ
Colonia Sarmiento Airport,Sarmiento,OLN
Aragip Airport,,ARP
Asirim Airport,,ASZ
Namatanai Airport,Namatanai,ATN
Aitape Airport,Aitape,ATP
Lady Elliot Island Airstrip,Lady Elliot Island,LYT
Gruyere Airport,Cosmo Newbery,GYZ
Karara Airport,Karara,KQR
Agnew Airport,Agnew,AGW
Alroy Downs Airport,Alroy Downs,AYD
Baniyala Airport,Baniyala,BYX
Coolibah Airport,Coolibah,COB
Coorabie Airport,Coorabie,CRJ
Carlton Hill Airport,Carlton Hill,CRY
Cresswell Downs Airport,Cresswell Downs,CSD
Diamantina Lakes Airport,Diamantina Lakes,DYM
Hayman Island Resort Seaplane Base,Hayman Island,HIS
Helenvale Airport,Helenvale,HLV
Kimberley Downs Airport,Kimberley Downs,KBD
Kulgera Airport,Ghan,KGR
Camballin Airport,Myroodah,MYO
Orchid Beach Airport,Orchid Beach,OKB
Peppimenarti Airport,Peppimenarti,PEP
Rockhampton Downs Airport,Rockhampton Downs,RDA
Sturt Creek Airport,Sturt Creek,SSK
Shaw River Airport,Shaw River,SWB
Tom Price Airport,Tom Price,TPR
Torwood Airport,Torwood,TWP
Springvale Airport,Springvale,ZVG
Aua Island Airport,Aua Island,AUI
Ambunti Airport,Ambunti,AUJ
Agaun Airport,,AUP
Aumo Airport,Aumo,AUV
Alowe Airport,Wonga Wongué Presidential Reserve,AWE
Alxa Left Banner Bayanhot Airport,Bayanhot,AXF
Pantar Kabir Airport,Kabir,AXO
Kompiam Airport,,KPM
Buka Airport,Buka Island,BUA
Biaru Airport,Biaru,BRP
Chimbu Airport,Kundiawa,CMU
Munduku Airport,Munduku,MDM
Kondobol Airport,Kondobol,KPF
Dinangat Airport,Dinangat,DNU
Doini Airport,Castori Islets,DOI
Daru Airport,Daru,DAU
Embessa Airport,Embessa,EMS
Edwaki Airport,Yellow River Mission,XYR
Eliptamin Airport,Eliptamin,EPT
Engati Airstrip,Engati,EGA
Emo River Airstrip,Emo Mission,EMO
Erume Airport,Erume,ERU
Meselia Airport,Demgulu,MFZ
Feramin Airport,Feramin,FRQ
Frieda River Airport,Frieda River,FAQ
Fuma Airport,Fuma,FUM
Goroka Airport,Goronka,GKA
Guari Airport,Guari,GUG
Garasa Airport,Au,GRL
Gurney Airport,Gurney,GUR
Gusap Airport,Gusap,GAP
Girua Airport,Popondetta,PNP
Gasuke Airport,Gasuke,GBC
Habi Airport,Habi,HBD
Heiweni Airport,Heiweni,HNI
Honinabi Airport,Honinabi,HNN
Hoskins Airport,Kimbe,HKN
Haivaro Airport,Haivaro,HIT
Imane Airport,Imane,IMN
Kungim Airport,Kungim,KGM
Imonda Airport,Imonda,IMD
Aropa Airport,Kieta,KIE
Ialibu Airport,Ialibu,IAL
Witu Airport,Garove Island,WIU
Yongai Airport,Yongai,KGH
Losuia Airport,Losuia,LSA
Kopiago Airport,Kopiago,KPA
Kiunga Airport,Kiunga,UNG
Kanainj Airport,Kanainj,KNE
Kikori Airport,Kikori,KRI
Kerema Airport,Kerema,KMA
Kar Kar Airport,Kar Kar Island,KRX
Kuri Airport,Kuri,KUQ
Kavieng Airport,Kavieng,KVG
Londolovit Airport,Londolovit,LNV
Lab Lab Airport,Lab Lab Mission,LAB
Lowai Airport,Lowai,LWI
Leron Plains Airport,Leron Plains,LPN
Lese Airport,Lese,LNG
Long Island Airport,Long Island,LSJ
Yas Island Seaplane Base,Abu Dhabi,AYM
Manari Airport,Manari,MRM
Morobe Airport,Morobe,OBM
Madang Airport,Madang,MAG
Mount Hagen Kagamuga Airport,Mount Hagen,HGU
Mougulu Airport,Mougulu,GUV
Mendi Airport,Mendi,MDU
Momote Airport,Manus Island,MAS
Moro Airport,Moro,MXH
Misima Island Airport,Misima Island,MIS
Marawaka Airport,Marawaka,MWG
Nankina Airport,Gwarawon,NKN
Negarbo(Negabo) Airport,Negarbo,GBF
Manguna Airport,Manguna,MFO
Kasonombe Airport,Kasonombe,KSB
Nomane Airport,Namane,NMN
Nambaiyufa Airport,Nambaiyufa,NBA
Nadzab Airport,Lae,LAE
Konge Airport,Konge,KGB
Oksapmin Airport,Oksapmin,OKP
Komako Airport,Komako,HOC
Komaio Airport,Komaio,KCJ
Koroba Airport,Koroba,KDE
Open Bay Airport,Maitanakunai,OPB
Pangoa Airport,Pangoa,PGB
Pangia Airport,Pangia,PGN
Mapoda Airport,Mapoda,MPF
Pumani Airport,Pumani,PMN
Port Moresby Jacksons International Airport,Port Moresby,POM
Sopu Airport,Sopu,SPH
Sialum Airport,Sialum,SXA
Rumginae Airport,,RMN
Karimui Airport,Karimui,KMR
Maramuni Airport,Maramuni,MWI
May River Airstrip,May River,MRH
Suabi Airport,,SBE
Simberi Airport,Simberi Island,NIS
Sila Airport,Sila Mission,SIL
Sabah Airport,Sabah,SBV
Simbai Airport,Simbai,SIM
Selbang Airport,Selbang,SBC
Sepik Plains Airport,Sepik Plains,SPV
Sauren Airport,Sauren,SXW
Masa Airport,Masa,MBV
Tari Airport,Tari,TIZ
Tabubil Airport,Tabubil,TBG
Tapini Airport,Tapini,TPI
Tokua Airport,Kokopo,RAB
Tekin Airport,Tekin,TKW
Tep Tep Airport,Teptep,TEP
Tsewi Airport,Tsewi,TSW
Tarakbits Airport,Tarakbits,TRJ
Tawa Airport,Tawa,TWY
Tekadu Airport,Tekadu,TKB
Aiyura Airport,Aiyura Valley,AYU
Umba Airport,Umba,UMC
Uroubi Airport,Uroubi,URU
Upiara Airport,Upiara,UPR
Uvol Airport,Uvol,UVO
Talasea Airport,Talasea,TLW
Torembi Airport,Torembi,TCJ
Vanimo Airport,Vanimo,VAI
Tonu Airport,Tonu,TON
Wabo Airport,Wabo,WAO
Wapenamanda Airport,Wapenamanda,WBM
Wawoi Falls Airport,Wavoi Falls,WAJ
Wewak International Airport,Wewak,WWK
Wonenara Airport,Wonenara,WOA
Wakunai Airport,Wakunai,WKN
Wasu Airport,Wasu,WSU
Woitape Airport,Fatima Mission,WTP
Wau Airport,Wau,WUG
Yeva Airport,Yeva,YVD
Sim Airport,Sim,SMJ
Weam Airport,Weam,WEP
Arugam Bay SPB,Pottuvil,AYY
Yalumet Airport,Yalumet,KYX
Yasuru Airport,Yasuru,KSX
Wasum Airport,Wasum,WUM
Zabrat Airport,Baku,ZXT
Fuzuli International Airport,Fuzuli,FZL
Lava Falls Heliport,Supai Village,HAE
Amazon Bay Airport,,AZB
Zhenjiang Dalu Airport,Zhenjiang,AZJ
Bali Airport,Unea Island,BAJ
Bambu Airport,Bambu,BCP
Benguera Island Airport,Benguera Island,BCW
Milyakburra Airport,Bickerton Island,BCZ
Willmar Municipal Airport John L Rice Field (2006),Willmar,ILL
Baindoung Airport,,BDZ
Malevo Airfield,Haskovo,HKV
Bezmer Air Base,Yambol,JAM
Aasiaat Airport,Aasiaat,JEG
Aappilattoq Heliport,Aappilattoq,AOQ
Tasiilaq Heliport,Tasiilaq,AGM
Attu Heliport,Attu,QGQ
Narsarsuaq Airport,Narsarsuaq,UAK
Qasigiannguit Heliport,Qasigiannguit,JCH
Neerlerit Inaat Airport,Neerlerit Inaat,CNP
Eqalugaarsuit Heliport,Eqalugaarsuit,QFG
Nuuk Airport,Nuuk,GOH
Qeqertarsuaq Heliport,Qeqertarsuaq,JGO
Ikerasak Heliport,Ikerasak,IKE
Iginniarfik Heliport,Iginniarfik,QFI
Ikerassaarsuk Heliport,Ikerassaarsuk,QRY
Ilimanaq Heliport,Ilimanaq,XIQ
Innarsuit Heliport,Innarsuit,IUI
Isortoq Heliport,Isortoq,IOQ
Ikamiut Heliport,Ikamiut,QJI
Qaqortoq Heliport,Qaqortoq,JJU
Ilulissat Airport,Ilulissat,JAV
Kangaatsiaq Heliport,Kangaatsiaq,QPW
Kulusuk Airport,Kulusuk,KUS
Kuummiut Heliport,Kuummiut,KUZ
Kullorsuaq Heliport,Kullorsuaq,KHQ
Kangersuatsiaq Heliport,Kangersuatsiaq,KGQ
Kitsissuarsuit Heliport,Kitsissuarsuit,QJE
Illorsuit Heliport,Illorsuit,IOT
Maniitsoq Airport,Maniitsoq,JSU
Nanortalik Heliport,Nanortalik,JNN
Nuugaatsiaq Heliport,Nuugaatsiaq,JUU
Narsaq Heliport,Narsaq,JNS
Niaqornat Heliport,Niaqornat,NIQ
Nuussuaq Heliport,Nuussuaq,NSQ
Paamiut Airport,Paamiut,JFR
Qeqertaq Heliport,Qeqertaq,PQT
Qaanaaq Airport,Qaanaaq,NAQ
Ittoqqortoormiit Heliport,Ittoqqortoormiit,OBY
Kangerlussuaq Airport,Kangerlussuaq,SFJ
Siorapaluk Heliport,Siorapaluk,SRK
Saarloq Heliport,Saarloq,QOQ
Sisimiut Airport,Sisimiut,JHS
Saattut Heliport,Saattut,SAE
Savissivik Heliport,Savissivik,SVR
Tasiusaq Heliport,Tasiusaq,TQA
Thule Air Base,Pituffik,THU
Tiniteqilaaq Heliport,Tiniteqilaaq,TQI
Upernavik Airport,Upernavik,JUV
Uummannaq Heliport,Uummannaq,UMD
Qaarsut Airport,Uummannaq,JQA
Ukkusissat Heliport,Ukkusissat,JUK
Bahía de los Ángeles Airport,Ensenada,BHL
Brighton Downs Airport,,BHT
Akureyri Airport,Akureyri,AEY
Bildudalur Airport,Bildudalur,BIU
Borgarfjörður eystri Airport,Borgarfjörður eystri,BGJ
Bakkafjörður Airport,Bakkafjörður,BJD
Hjaltabakki Airport,Blönduós,BLO
Búðardalur Airport,Búðardalur,BQD
Breiðdalsvík Airport,Breiðdalsvík,BXV
Djúpivogur Airport,Djúpivogur,DJU
Egilsstaðir Airport,Egilsstaðir,EGS
Fáskrúðsfjörður Airport,Fáskrúðsfjörður,FAS
Fagurhólsmýri Airport,Fagurhólsmýri,FAG
Grundarfjörður Airport,Grundarfjörður,GUU
Gjögur Airport,Gjögur,GJR
Grímsey Airport,Grímsey,GRY
Hólmavík Airport,Hólmavík,HVK
Hornafjörður Airport,Höfn,HFN
Holt Airport,Flateyri,FLI
Húsavík Airport,Húsavík,HZK
Krókstaðarmelar Airport,Hvammstangi,HVM
Ingjaldssanður Airport,Onundarfjörður,HLO
Ísafjörður Airport,Ísafjörður,IFJ
Keflavik International Airport,Reykjavík,KEF
Kópasker Airport,Kópasker,OPA
Sauðárkrókur Airport,Sauðárkrókur,SAK
Norðfjörður Airport,Norðfjörður,NOR
Ólafsfjörður Airport,Ólafsfjörður,OFJ
Patreksfjörður Airport,Patreksfjörður,PFJ
Reykhólar Airport,Reykhólar,RHA
Rif Airport,Rif,OLI
Raufarhöfn Airport,Raufarhöfn,RFN
Reykjavik Airport,Reykjavik,RKV
Reykjahlíð Airport,Myvatn,MVA
Siglufjörður Airport,Siglufjörður,SIJ
Stykkishólmur Airport,Stykkishólmur,SYK
Þingeyri Airport,Þingeyri,TEY
Þórshöfn Airport,Þórshöfn,THO
Vestmannaeyjar Airport,Vestmannaeyjar,VEY
Vopnafjörður Airport,Vopnafjörður,VPN
Baleela Airport,Baleela Base Camp,BJE
Bahja Airport,Bahja,BJQ
Bentota River Waterdrome,Bentota,BJT
Priština Adem Jashari International Airport,Prishtina,PRN
Bomai Airport,Bomai,BMH
Bamburi Airport,Bamburi,BMQ
Bamu Airport,Bamu,BMZ
Baranof Warm Springs Float and Seaplane Base,Baranof,BNF
Bodinumu Airport,Bodinumu,BNM
Bundi Airport,Bundi,BNT
Rurrenabaque Airport,Rurrenabaque,RBQ
Baures Airport,Baures,BVL
Bolling Air Force Base,Washington,BOF
Brookings Airport,Brookings,BOK
Bosset Airport,Bosset,BOT
Boang Airport,Boang Island,BOV
Batuna Aerodrome,Batuna Mission Station,BPF
Bartlett Cove Seaplane Base,Gustavus,BQV
Pedro Vieira Moreira Airport,Cajazeiras,CJZ
Glauber de Andrade Rocha Airport,Vitória da Conquista,VDC
Alenquer Municipal Airport,Alenquer,ALT
Bimini North Seaplane Base,Bimini,NSB
Bensbach Airport,Bensbach,BSP
Besakoa Airport,Besakoa,BSV
Betong International Airport,Betong,BTZ
Bulolo Airport,Bulolo,BUL
Esperadinha Airport,Brava Island,BVR
Hukuntsi Airport,Hukuntsi,HUK
Bawan Airport,,BWJ
Bewani Airport,Bewani,BWP
Blue Lagoon Seaplane Base,Nanuya Lailai Island,BXL
Bunsil Airport,Bunsil - Umboi Island,BXZ
Orsha Airport - Balbasovo Air Base,Orsha,TXC
Boundary Airport,Boundary,BYA
Bella Yella Airport,Beliyela,BYL
Beira Lake Seaplane Base,Colombo,BYV
Hector Silva Airstrip,Belmopan,BCV
Big Creek Airport,Big Creek,BGK
Caye Caulker Airport,Caye Caulker,CUK
Caye Chapel Airport,Caye Chapel,CYC
Corozal Municipal Airport,Corozal,CZH
Dangriga Airport,Dangriga,DGA
Independence Airport,Independence,INB
Melinda Airport,Melinda,MDB
Orange Walk Airport,Orange Walk,ORZ
Placencia Airport,Placencia,PLJ
Punta Gorda Airport,Punta Gorda,PND
Sartaneja Airport,Sartaneja,SJX
John Greif II Airport,San Pedro,SPR
Matthew Spain Airport,Spanish Lookout,SQS
Santa Cruz Airport,Santa Cruz,STU
Silver Creek Airport,Silver Creek,SVK
Sir Barry Bowen Municipal Airport,Belize City,TZA
Bazaruto Island Airport,Bazaruto Island,BZB
Bemolanga Airport,Bemolanga,BZM
Saglek Airport,Saglek,YSV
Stuart Island Airstrip,Big Bay,YRR
Mary River Aerodrome,Mary River,YMV
Hakai Passage Water Aerodrome,Hecate Island,YHC
Paradise Skypark Airport,Paradise,PYS
Bedwell Harbour Seaplane Base,Bedwell Harbour,YBW
Tofino Harbour Seaplane Base,Tofino Harbour,YTP
Nanaimo Harbour Water Airport,Nanaimo,ZNA
Trail Airport,Trail,YZZ
Merritt Airport,Merritt,YMB
Campbell River Seaplane Base,Campbell River,YHH
Whistler/Green Lake Water Aerodrome,Whistler,YWS
Bamfield Seaplane Base,Bamfield,YBF
Big Bay Seaplane Base,Stuart Island,YIG
Chilko Lake (Tsylos Park Lodge) Airport,Chilko Lake,CJH
Pender Harbour Seaplane Base,Sunshine Coast,YPT
Ocean Falls Seaplane Base,Ocean Falls,ZOF
Courtenay Airpark,Courtenay,YCA
Creston Valley Regional Airport - Art Sutcliffe Field,Creston,CFQ
Anahim Lake Airport,Anahim Lake,YAA
Douglas Lake Airport,Douglas Lake,DGF
Fort MacKay/Albian Aerodrome,Albian Village,JHL
Tahsis Seaplane Base,Tahsis,ZTS
Duncan Airport,Duncan,DUQ
Sechelt-Gibsons Airport,Sechelt,YHS
Kitkatla Seaplane Base,Kitkatla,YKK
Queen Charlotte City Seaplane Base,,ZQS
Powell Lake Seaplane Base,,WPL
Qualicum Beach Airport,Qualicum Beach,XQU
Port McNeill Airport,Port McNeill,YMP
Rivers Inlet Seaplane Base,Rivers Inlet,YRN
Sullivan Bay Seaplane Base,Sullivan Bay,YTG
Mansons Landing Seaplane Base,,YMU
Bella Bella/Shearwater Seaplane Base,Bella Bella,YSX
Ganges Seaplane Base,Salt Spring Island,YGG
Hartley Bay Seaplane Base,Hartley Bay,YTB
Cache Creek-Ashcroft Regional Airport,Cache Creek,YZA
Bella Bella (Campbell Island) Airport,Bella Bella,ZEL
Cherrabun Airport,,CBC
Alberni Valley Regional Airport,Port Alberni,YPB
Bob Quinn Lake Airport,Bob Quinn Lake,YBO
Tungsten (Cantung) Airport,Tungsten,TNS
Tumbler Ridge Airport,Tumbler Ridge,TUX
Williams Harbour Airport,Williams Harbour,YWM
Postville Airport,Postville,YSO
Black Tickle Airport,Black Tickle,YBI
Charlottetown Airport,Charlottetown,YHG
St. Lewis (Fox Harbour) Airport,St. Lewis,YFX
Port Hope Simpson Airport,Port Hope Simpson,YHA
Rigolet Airport,Rigolet,YRG
Diavik Airport,Diavik,DVK
Doris Lake,Hope Bay,JOJ
Fairview Airport,Fairview,ZFW
Jasper-Hinton Airport,Hinton,YJP
Whatì Airport,Whatì,YLE
Drayton Valley Industrial Airport,Drayton Valley,YDC
Fort McMurray / Mildred Lake Airport,Fort McMurray,NML
Conklin (Leismer) Airport,Conklin,CFM
St. Paul Airport,St. Paul,ZSP
Kavadja Airport,Kavadja,KWD
Taltheilei Narrows Airport,Taltheilei Narrows,GSL
Macmillan Pass Airport,Macmillan Pass,XMP
Great Bear Lake Airport,Great Bear Lake,DAS
Fort Mackay / Firebag,Suncor Energy Site,YFI
Wekweètì Airport,Wekweètì,YFJ
Donnelly Airport,Donnelly,YOE
Cheadle Airport,Cheadle,TIL
Okoyo Airport,Okoyo,OKG
Craig Seaplane Base,Craig,CGA
Cape Gloucester Airport,Cape Gloucester,CGC
Casiguran Airport,Casiguran,CGG
Gahcho Kue,,GHK
Circle Hot Springs Airport,Circle Hot Springs,CHP
Chomley Seaplane Base,Chomley,CIV
Laurie River Airport,Laurie River,LRQ
Hatchet Lake Airport,Hatchet Lake,YDJ
Kasba Lake Airport,Kasba Lake,YDU
Fort Reliance Seaplane Base,Fort Reliance,YFL
Cluff Lake Airport,Cluff Lake,XCL
Knee Lake Airport,Knee Lake,YKE
Summer Beaver Airport,Summer Beaver,SUR
Crooked Creek Airport,Crooked Creek,CKD
Tisdale Airport,Tisdale,YTT
Wapekeka Airport,Angling Lake,YAX
Wunnumin Lake Airport,Wunnumin Lake,WNN
Opapimiskan Lake Airport,Opapimiskan Lake,YBS
North Spirit Lake Airport,North Spirit Lake,YNO
Crane Island Airstrip,Crane Island,CKR
Cordova Municipal Airport,Cordova,CKU
North of Sixty Airport,Obre Lake,YDW
Chicken Airport,Chicken,CKX
Nuevo Chaitén Airport,Chaitén,WCH
New Cametá Airport,Cametá,CMT
Caia Airport,Caia,CMZ
Tangshan Sannühe Airport,Tangshan,TVS
Yuanmou Air Base,Chuxiong (Yuanmou),YUA
Zhangjiakou Ningyuan Airport,Zhangjiakou,ZQZ
Baoshan Yunrui Airport,Baoshan (Longyang),BSD
Dazu Air Base,Dazu,DZU
Lincang Boshang Airport,Lincang,LNJ
Xigaze Peace Airport / Shigatse Air Base,Xigazê (Samzhubzê),RKZ
Panzhihua Bao'anying Airport,Panzhihua (Renhe),PZI
Zigong Fengming Airport,Zigong (Gongjing),ZKL
Foshan Shadi Airport,Foshan (Nanhai),FUO
Bazhong Enyang Airport,Bazhong (Enyang),BZX
Xinyang Minggang Airport,Xinyang,XAI
Huizhou Pingtan Airport,Huizhou (Pingtan),HUZ
Shangluo Airport,Shangluo (Danfeng),DFA
Shaoguan Danxia Airport,Shaoguan,HSC
Jinggangshan Airport,Ji'an,JGS
Baise Youjiang Airport,Baise (Tianyang),AEB
Lianyungang Huaguoshan International Airport,Lianyungang,LYG
Dongying Shengli Airport,Dongying,DOY
Xingcheng Air Base,"Xingcheng, Huludao",XEN
Altay Xuedu Airport,Altay,AAT
Tianshui Maijishan Airport,Tianshui (Maiji),THQ
Zhangye Ganzhou Airport,Zhangye (Ganzhou),YZY
Morin Dawa Banner Airport,Hulunbuir,DWS
Shijiazhuang Luancheng Airport,Shijiazhuang,LCT
Wuhan Hannan Municipal Airport,Wuhan (Hannan),WHN
Beijing Nanjiao Airport,Beijing,NAY
Dandong Langtou Airport,"Zhenxing, Dandong",DDG
Penglai Shahekou Airport,Yantai,PNJ
Binzhou Daguo Airport,Binzhou,CBZ
Xigaze Dingri Airport,Xigazê (Dingri),DDR
Tashikuergan Hongqilafu Airport,Tashikuergan,HQL
Jiande Qiandaohu General Airport,Hangzhou,JDE
Zhaodong Beidahuang General Airport,Suihua,HLJ
Taiyuan Yaocheng Airport,Taiyuan,TYC
Zhanjiang Wuchuan Airport,Zhanjiang,ZHA
Zhaosu Tianma Airport,Zhaosu,ZFL
Yinchuan Yueyahu Airport,Yinchuan,YEH
Lanping Fenghua General Airport,Lanping Bai,LFH
Nantong Xingdong International Airport,Nantong,NTG
Bearskin Lake Airport,Bearskin Lake,XBE
Natuashish Airport,Natuashish,YNP
White River Seaplane Base,White River,YWR
Parry Sound Area Municipal Airport,Parry Sound,YPD
Brockville - Thousand Islands Regional Tackaberry Airport,Brockville,XBR
Kingfisher Lake Airport,Kingfisher Lake,KIF
Ogoki Post Airport,Ogoki Post,YOG
La Chorrera Airport,La Chorrera,LCR
Las Cruces Airport,Sabana De Torres,SNT
Tarapacá Airport,Tarapacá,TCD
Bar River Airport,Bar River,YEB
Cape Orford Airport,,CPI
Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,Frying Pan Island,YSI
Poplar Hill Airport,Poplar Hill,YHP
Keewaywin Airport,Keewaywin,KEW
Reef Hueston Helicopter Landing,Streatham,XVQ
Kirby Lake Airport,Kirby Lake,KFM
Sable Island Landing Strip,Sable Island,YSA
Lebel-sur-Quevillon Airport,Lebel-sur-Quévillon,YLS
Snap Lake Airport,Snap Lake Mine,YNX
La Sarre Airport,La Sarre,SSQ
Chisasibi Airport,Chisasibi,YKU
